Agency,Est. annual meetings,Cadence,Est. cost ,Description,Info link,Calendar link,Agenda link,Livestreamed?,Notes
Board of Estimate and Taxation,20,2nd and 4th Wednesdays (with some skips),1400,Sets the City's maximum tax levies and authorizes the issuance and sale of municipal bonds.,https://lims.minneapolismn.gov/IndependentBodies/bet,https://lims.minneapolismn.gov/Calendar/independent/upcoming/bet,https://lims.minneapolismn.gov/IndependentBodies/IndependentBodiesMeetings/BET,Yes,
Capital Long-Range Improvement Committee,16,,1280,Makes recommendations on capital improvement program development and annual capital improvement budgets.,https://lims.minneapolismn.gov/Boards/clic,https://lims.minneapolismn.gov/Calendar/Boards/upcoming/clic,https://lims.minneapolismn.gov/Boards/Meetings/clic,NO - confirmed NO for 2026,
Charter Commission,4,quarterly; generally 1st wed of month,280,The Charter Commission is responsible for coordinating the processes for amending the City Charter.,https://lims.minneapolismn.gov/IndependentBodies/charter,https://lims.minneapolismn.gov/Calendar/independent/upcoming/charter,https://lims.minneapolismn.gov/IndependentBodies/IndependentBodiesMeetings/charter,Yes,Moved to quarterly - has committees that are not livestreamed
Charter Commission - gov structure workgroup,4ish,sporadic - have to watch cal,,,,,https://lims.minneapolismn.gov/IndependentBodies/IndependentBodiesMeetings/charter,,
Civil Rights Commission,10,Monthly - usually 3rd Monday of the month,800,"Carries forward the policies of the city in the field of human relations, to promote civil rights and to enforce the provisions of the title on civil rights.",https://lims.minneapolismn.gov/IndependentBodies/mccr,https://lims.minneapolismn.gov/Calendar/independent/upcoming/mccr,https://lims.minneapolismn.gov/IndependentBodies/IndependentBodiesMeetings/MCCR,NO - but board is pushing for it,Fairly detailed minutes
Community Commission on Police Oversight,8,,560,The Community Commission on Police Oversight (CCPO) is an independent body that allows the public to participate in police oversight.,https://lims.minneapolismn.gov/boards/ccpo,https://lims.minneapolismn.gov/Calendar/independent/upcoming/ccpo,https://lims.minneapolismn.gov/IndependentBodies/IndependentBodiesMeetings/ccpo,Yes,Has OK minutes - decent enough to use when deciding if we should cover the next meeting 
Ethical Practices Board,6,,480,The Ethical Practices Board (EPB) promotes high ethical standards and conduct. It fosters a healthy ethical culture in Minneapolis government.,https://www.minneapolismn.gov/government/boards-and-commissions/ethical-practices-board/,https://lims.minneapolismn.gov/calendar/independent/upcoming/epb,https://lims.minneapolismn.gov/IndependentBodies/Meetings/epb,NO,"can't really obtain a lot of info from tehse meetings. you can see the # of ethical complaints (which almost always are not deemed worthy of next steps) and # of ethical inquiries and the nature of those inquiries. but not who is asking what about whom, etc. no real info shared on the cases they do review. "
"Hennepin County Board (including committees, Housing & Redevelopment Authority and Regional Railroad Authority)",33,Tuesday afternoons,2310,The county's primary legislative & policymaking body. Counties are tasked with providing social services for residents. ,https://www.hennepin.us/your-government/leadership/county-board-meetings,https://www.hennepincounty.gov/-/media/Hennepin-Headless/Hennepin-Gov/government/board-meeting-calendar.pdf?rev=8ff710c9736d44b691c80d17d1632a9d&hash=97B5FB9D30E214EFA4F084A7EAB449BD,https://hennepinmn.legistar.com/Calendar.aspx,Yes - but not public comment!,
Hennepin County Board Briefings,~12,,960,Informational briefings on specific issues/topics with no vote taken ,https://www.hennepin.us/your-government/leadership/board-briefing-videos,https://www.hennepincounty.gov/-/media/Hennepin-Headless/Hennepin-Gov/government/board-meeting-calendar.pdf?rev=8ff710c9736d44b691c80d17d1632a9d&hash=97B5FB9D30E214EFA4F084A7EAB449BD,https://hennepinmn.legistar.com/Calendar.aspx,NO (but they record them?),
Minneapolis Board of Education (incl. committees),46,Tuesday evenings (with some skips),3680,"The Minneapolis Board of Education, or School Board, is the elected body responsible for governing finances and policies, establishing and monitoring the strategic direction and goals, and hiring and evaluating the district's superintendent, who serves as the district's chief executive. ",https://www.mpschools.org/about-mps/school-board,https://library.municode.com/MN/minneapolis_public_schools/munidocs/munidocs?nodeId=8b6dd5827336e,https://meetings.boardbook.org/Public/Organization/1807,"Full board & CoW yes, committees no",
Northside Green Zone Task Force,6,,480,"Serves as an advisory board to the city Council on the creation, implementation, and evaluation of the Green Zone work plans",https://lims.minneapolismn.gov/boards/ngz,https://lims.minneapolismn.gov/Calendar/Boards/upcoming/ngz,https://lims.minneapolismn.gov/Boards/Meetings/ngz,NO,
Southside Green Zone Task Force,6,,,"Serves as an advisory board to the city Council on the creation, implementation, and evaluation of the Green Zone work plans",https://lims.minneapolismn.gov/boards/sgz,https://lims.minneapolismn.gov/Calendar/Boards/upcoming/sgz,https://lims.minneapolismn.gov/Boards/Meetings/sgz,NO,
Planning Commission (inc. 5 Committee of the Whole mtgs),25,,1750,"Hears and decides applications for land use reviews, including site plan review, conditional use permits, changes or expansions of a nonconforming use, variances, and land subdivisions.",https://lims.minneapolismn.gov/IndependentBodies/cpc,https://lims.minneapolismn.gov/Calendar/independent/upcoming/cpc,https://lims.minneapolismn.gov/IndependentBodies/IndependentBodiesMeetings/CPC,Yes - not CoW though,
Minneapolis Park Board,~36,"1st, 2nd and 3rd Wednesdays at 5pm","$3,960","serves as an independently elected, semi-autonomous body responsible for governing, maintaining, and developing the Minneapolis Park System.",https://www.minneapolisparks.org/about-us/leadership-and-structure/board-meetings/,https://agendasuite.org/iip/mprb/meeting/list,https://agendasuite.org/iip/mprb,Yes,
Blue Line Extension Corridor Management Committee,4,,$280,comprised of elected officials in each municipality that the route runs through; advises the Metropolitan Council on all issues relating to the design and construction of the proposed rail line.,"https://metrocouncil.org/getdoc/5eeed426-87a9-487c-9aed-6c68d3fa5b6f/GroupNodeAlias.aspx#:~:text=The%20METRO%20Blue%20Line%20Extension,of%20the%20proposed%20rail%20line.","https://metrocouncil.org/getdoc/5eeed426-87a9-487c-9aed-6c68d3fa5b6f/GroupNodeAlias.aspx#:~:text=The%20METRO%20Blue%20Line%20Extension,of%20the%20proposed%20rail%20line.","https://metrocouncil.org/getdoc/5eeed426-87a9-487c-9aed-6c68d3fa5b6f/GroupNodeAlias.aspx#:~:text=The%20METRO%20Blue%20Line%20Extension,of%20the%20proposed%20rail%20line.",Yes,
Twin Cities Immigration Forum,~12,,$840,Sharing news & resources regarding immigration,https://www2.minneapolismn.gov/government/departments/ncr/immigrants-refugees/meetings-events/,https://www2.minneapolismn.gov/government/departments/ncr/immigrants-refugees/meetings-events/calendar/,,Yes - not happening tho?,
Met Council*,48,,"$3,360","The Met Council provides essential services and infrastructure — Metro Transit's bus and rail system, Metro Mobility, Transit Link, wastewater treatment services, regional parks, planning, affordable housing, and more — that support communities and businesses and ensure a high quality of life for residents.",https://metrocouncil.org/About-Us/Who-We-Are.aspx,https://metrocouncil.org/Council-Meetings/Committees/Metropolitan-Council.aspx,https://metrocouncil.org/Council-Meetings/Committees/Metropolitan-Council.aspx,Yes - only a few advisory committees are not ,
Minneapolis Public Housing Authority,12,"4th Wed of month, 12pm (incl. Resident Advisory Board. then MPHS meets at 12:30) (except Nov & Dec - 3rd wed of month)",$840,The commissioners are responsible for approving the agency’s annual budget and setting policy.,https://mphaonline.org/about/board-of-commissioners/,,,NO - no recordings either,Agendas posted Friday before the Wednesday meeting (supposedly)
St. Paul Public Housing Authority,12,4th Wed of month at 9am (except Nov & Dec - 3rd Wed),$840,,https://www.stpha.org/board-actions,,,NO - no recordings either,
"St. Paul City Council (incl. committees, which are more sporadic - organizational, HRA and budget)",94**,Every Wednesday at 3:30 (except 5th Wed). ,"$6,230",responsible for setting City policy through ordinances and resolutions. The Council also has sole responsibility for adopting the City’s budget. The Council legislates by passing Ordinances which become City laws.,https://www.stpaul.gov/department/city-council,https://www.stpaul.gov/calendar?page=0,https://stpaul.legistar.com/Calendar.aspx,Yes,
St. Paul City Council - Library Board,,"1st Wed of month, 2pm ",,,,https://www.stpaul.gov/calendar?page=0,https://stpaul.legistar.com/DepartmentDetail.aspx?ID=11372&GUID=B4DF35F6-A26E-4D7F-8EAC-4E668168BBEB,Yes," IDK if it's weird to regularly cover this if we don't also cover mpls (which is thru the county, which does not have library board) "
St. Paul Planning Commission,24 scheduled in 2024,Every other Friday (usually odd),"$1,680","21-member advisory body made up of resident volunteers appointed by the Mayor and approved by the City Council. The Planning Commission makes recommendations on planning and zoning issues, studies, and amendments. The Commission and its sub-committees (Zoning Committee, Comprehensive and Neighborhood Planning Committee and Transportation Committee) take on municipal planning issues as required by law. ",https://www.stpaul.gov/departments/planning-and-economic-development/planning/planning-commission,https://www.stpaul.gov/sites/default/files/planning-economic-development/ped-meeting-calendar-2026.pdf,https://www.stpaul.gov/departments/planning-and-economic-development/planning/planning-commission#meetings--documents,"NO - only records audio. Not sure yet if audio is livestreamed, seems like no. ",Effective Feb. 2026 - Zoning & Comp/Neighborhod Planning meetings are folded into Planning Comm meetings. Transportation still separate. 
St. Paul Planning Commission - Transportation Committee,24,Every other Monday (usually even),,consists of four Planning Commissioners and up to eight additional community members,https://www.stpaul.gov/departments/planning-and-economic-development/planning/planning-commission/transportation-committee,https://www.stpaul.gov/sites/default/files/planning-economic-development/ped-meeting-calendar-2026.pdf,https://www.stpaul.gov/departments/planning-and-economic-development/planning/planning-commission#meetings--documents,NO (unless it's a bug on the website?? no recordings are available) ,
St. Paul School Board - full board,12,"3rd (somtimes 4th instead) Tuesday of the month, 5:30","2,000","responsible for the care, management and control of the school district.",https://www.spps.org/about/board-of-education/calendar,https://www.spps.org/about/board-of-education/calendar,https://www.spps.org/about/board-of-education/2026-meeting-materials,YES,
St. Paul School Board - CoW,12,"1st (sometimes 2nd) Tuesday of the month, 4:30pm",,,https://www.spps.org/about/board-of-education/calendar,https://www.spps.org/about/board-of-education/calendar,https://www.spps.org/about/board-of-education/2026-meeting-materials,Audio streamed,
"Ramsey County Board - incl. Committees, HRA & RRA",~40,Tuesdays at 9am,"$2,800",Establishes county policies and provides oversight of its budget and operations. Many social services are provided at the county level. ,https://www.ramseycounty.us/your-government/leadership/board-commissioners/board-meetings-information,https://ramseycountymn.legistar.com/Calendar.aspx,https://ramseycountymn.legistar.com/Calendar.aspx,Yes,
Ramsey County Board - workshops/discussions,,,,,https://ramseycountymn.legistar.com/Calendar.aspx,https://ramseycountymn.legistar.com/Calendar.aspx,https://ramseycountymn.legistar.com/Calendar.aspx,Yes,
St. Paul Parks and Recreation Commission,~12, second Thursday of the month from 6:30pm-8:00pm (agendas posted 1st Fridays of the month),840,advises the Mayor and the City Council on Parks and Recreation matters of long-range and citywide importance. ,https://www.stpaul.gov/departments/parks-and-recreation/about-us/parks-recreation-commission,https://www.stpaul.gov/departments/parks-and-recreation/about-us/parks-recreation-commission,https://drive.google.com/drive/folders/1GVnQXK9VsnAcSWTZIFRV_oxqGfYekWES,NO,Agenda posted Friday the week before. USES A GOOGLE FOLDER FOR MEETING MATERIALS
St. Paul Police Civilian Internal Affairs Review Commission,12,1st Wed of the month at 6,840,The PCIARC reviews investigations and makes disciplinary and policy recommendations to the Saint Paul Chief of Police on civilian-initiated complaints of police misconduct.,https://www.stpaul.gov/departments/human-rights-equal-economic-opportunity/police-civilian-internal-affairs-review,https://www.stpaul.gov/departments/human-rights-equal-economic-opportunity/police-civilian-internal-affairs-review-0#pciarc-meetings,https://www.stpaul.gov/departments/human-rights-equal-economic-opportunity/police-civilian-internal-affairs-review-0#pciarc-meetings,YES,
St. Paul Charter Commission,2,???? doesnt' say,$140,The Charter defines the roles of the City Council and Mayor along with defining the City's general authority to finance and tax for public services.,https://www.stpaul.gov/departments/charter-commission,???,???,,
St. Paul Reparations Commission,12,Last Wednesday of the month,,exploring reparations for Black residents,https://www.stpaul.gov/node/146951/saint-paul-recovery-act-community-reparations-commission,https://www.stpaul.gov/node/146951/saint-paul-recovery-act-community-reparations-commission#agenda-meetings-and-materials,https://www.stpaul.gov/node/146951/saint-paul-recovery-act-community-reparations-commission#agenda-meetings-and-materials,,
St. Paul Neighborhood Safety Community Council,~4,Quarterly,$320,"work with the Director of the Office of Neighborhood Safety to develop an annual strategic plan that identifies, recommends and prioritizes public safety initiatives, establishes areas of focus, and monitors justice and violence prevention metrics and indicators. This work will also include reviewing and reporting on the effectiveness of activities and initiatives undertaken by the Office of Neighborhood Safety. Includes overseeing $4 million in grants  ",https://www.stpaul.gov/departments/neighborhood-safety#community-council,https://stpaul.granicus.com/ViewPublisher.php?view_id=67,https://stpaul.granicus.com/ViewPublisher.php?view_id=67,,
St. Paul Housing & Redevelopment Authority (consists of all council members),50,Wednesdays at 2pm,"$1,750","undertakes housing, commercial and business development activities. The HRA authorizes the acquisition of real estate, housing and commercial loans and grants and the issuance of bonds.",https://www.stpaul.gov/departments/planning-and-economic-development/housing-and-redevelopment-authority-hra,https://stpaul.legistar.com/DepartmentDetail.aspx?ID=11371&GUID=6E6397C8-8E2C-4799-98C3-FC6934856551,https://stpaul.legistar.com/DepartmentDetail.aspx?ID=11371&GUID=6E6397C8-8E2C-4799-98C3-FC6934856551,,four City Council members comprise HRA
St. Paul Board of Water Commissioners,12,Second Tuesdays of the month,$960,"Operating the Water Utility,Preparing budgets, recommending issuance of revenue bonds, recomending water rates, condemning & acquiring land. ",https://www.stpaul.gov/departments/saint-paul-regional-water-services/about-sprws/board-of-water-commissioners,https://stpaul.legistar.com/DepartmentDetail.aspx?ID=24577&GUID=A8EDF011-6C70-4672-9E1D-8CAA6BFDF800,https://stpaul.legistar.com/DepartmentDetail.aspx?ID=24577&GUID=A8EDF011-6C70-4672-9E1D-8CAA6BFDF800,,
St. Paul Neighborhood STAR Board,10,every third Friday from 8:30 am - 10:30 am (No meetings in July & August; board meets on second Fri in Oct),$700,"The Neighborhood STAR Board tours, reviews, interviews and recommends applications to the Mayor and City Council for approval.",https://www.stpaul.gov/departments/planning-and-economic-development/economic-development/neighborhood-star-board,https://www.stpaul.gov/departments/planning-and-economic-development/economic-development/neighborhood-star-board#documents,https://www.stpaul.gov/departments/planning-and-economic-development/economic-development/neighborhood-star-board#documents,NO,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"*Estimate is for only full Met Council  & Committee of the Whole meetings, no committees (which we could still do instead)",,,,,,,,,
**St. Paul City Council estimate may be missing a few irregular committee meetings,,,,,,,,,
